"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"225",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Small business owner"
"226",NA,"(2012) $464,115,018",NA,"November 3, 2020","Kent State University, 1976","Siena Heights University, 1976","United States Army","1970 - 1980",NA,NA
"227","$174,000","(2012) $1,178,505","November 6, 2018","November 3, 2020",NA,"University of San Diego, 1983",NA,NA,"Christian: Catholic","Attorney"
"228",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"229","$174,000","(2012) $112,467,040","November 6, 2018","November 3, 2020",NA,"Duke University",NA,NA,"Christian: Lutheran","Economist"
"230",NA,NA,NA,"November 3, 2020",NA,"Harvard University",NA,NA,NA,"Technology entrepreneur"
"231",NA,NA,NA,"November 3, 2020",NA,"San Diego State University",NA,NA,NA,"Associate director"
"232",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","$174,000","(2012) $468,515","November 6, 2018","August 11, 2020",NA,"Tufts University",NA,NA,"Christian: Catholic","Attorney"
"236",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,"August 11, 2020",NA,"Liberty University, 2014",NA,NA,"Christian","Building project manager"
"238",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","$174,000","(2012) $5,967,025","November 6, 2018","August 11, 2020",NA,"Harvard University",NA,NA,"Christian: Presbyterian","Affordable Housing Executive"
"241",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,"Businessman, entrepreneur"
"243",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"245","$174,000",NA,"November 6, 2018","August 11, 2020",NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"251","$174,000","(2012) $1,901,012","November 6, 2018","June 30, 2020",NA,"Colorado College, 1979",NA,NA,"Christian: Presbyterian",NA
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Talent manager"
